Dex,Pokemon,Catch Rate,Speed
1,Bulbasaur,45,27
2,Ivysaur,45,35
3,Venusaur,45,45
4,Charmander,45,37
5,Charmeleon,45,45
6,Charizard,45,55
7,Squirtle,45,26
8,Wartortle,45,34
9,Blastoise,45,44
10,Caterpie,255,27
11,Metapod,120,20
12,Butterfree,45,40
13,Weedle,255,30
14,Kakuna,120,22
15,Beedrill,45,42
16,Pidgey,255,33
17,Pidgeotto,120,40
18,Pidgeot,45,50
19,Rattata,255,41
20,Raticate,127,53
21,Spearow,255,40
22,Fearow,90,55
23,Ekans,255,32
24,Arbok,90,45
25,Pikachu,190,50
26,Raichu,75,55
27,Sandshrew,255,25
28,Sandslash,90,37
29,NidoranGirl,235,25
30,Nidorina,120,33
31,Nidoqueen,45,43
32,NidoranBoy,235,30
33,Nidorino,120,37
34,Nidoking,45,47
35,Clefairy,150,22
36,Clefable,25,35
37,Vulpix,190,37
38,Ninetales,75,55
39,Jigglypuff,170,15
40,Wigglytuff,50,27
41,Zubat,255,32
42,Golbat,90,50
43,Oddish,255,20
44,Gloom,120,25
45,Vileplume,45,30
46,Paras,190,17
47,Parasect,75,20
48,Venonat,190,27
49,Venomoth,75,50
50,Diglett,255,52
51,Dugtrio,50,65
52,Meowth,255,50
53,Persian,90,62
54,Psyduck,190,32
55,Golduck,75,47
56,Mankey,190,40
57,Primeape,75,52
58,Growlithe,190,35
59,Arcanine,75,52
60,Poliwag,255,50
61,Poliwhirl,120,50
62,Poliwrath,45,40
63,Abra,200,50
64,Kadabra,100,57
65,Alakazam,50,65
66,Machop,180,22
67,Machoke,90,27
68,Machamp,45,32
69,Bellsprout,255,25
70,Weepinbell,120,32
71,Victreebel,45,40
72,Tentacool,190,40
73,Tentacruel,60,55
74,Geodude,255,15
75,Graveler,120,22
76,Golem,45,27
77,Ponyta,190,50
78,Rapidash,60,57
79,Slowpoke,190,12
80,Slowbro,75,20
81,Magnemite,190,27
82,Magneton,60,40
83,Farfetch'd,45,35
84,Doduo,190,42
85,Dodrio,45,55
86,Seel,190,27
87,Dewgong,75,40
88,Grimer,190,17
89,Muk,75,30
90,Shellder,190,25
91,Cloyster,60,40
92,Gastly,190,45
93,Haunter,90,52
94,Gengar,45,60
95,Onix,45,40
96,Drowzee,190,26
97,Hypno,75,38
98,Krabby,225,30
99,Kingler,60,42
100,Voltorb,190,55
101,Electrode,60,75
102,Exeggcute,90,25
103,Exeggutor,45,32
104,Cubone,190,22
105,Marowak,75,27
106,Hitmonlee,45,48
107,Hitmonchan,45,43
108,Lickitung,45,20
109,Koffing,190,22
110,Weezing,60,35
111,Rhyhorn,120,17
112,Rhydon,60,25
113,Chansey,30,30
114,Tangela,45,35
115,Kangaskhan,45,50
116,Horsea,225,35
117,Seadra,75,47
118,Goldeen,225,36
119,Seaking,60,39
120,Staryu,225,47
121,Starmie,60,62
122,Mr. Mime,45,50
123,Scyther,45,57
124,Jynx,45,52
125,Electabuzz,45,57
126,Magmar,45,51
127,Pinsir,45,47
128,Tauros,45,60
129,Magikarp,255,45
130,Gyarados,45,45
131,Lapras,45,35
132,Ditto,35,29
133,Eevee,45,32
134,Vaporeon,45,37
135,Jolteon,45,70
136,Flareon,45,37
137,Porygon,45,25
138,Omanyte,45,22
139,Omastar,45,32
140,Kabuto,45,32
141,Kabutops,45,45
142,Aerodactyl,45,70
143,Snorlax,25,20
144,Articuno,3,47
145,Zapdos,3,55
146,Moltres,3,50
147,Dratini,45,30
148,Dragonair,45,40
149,Dragonite,45,45
150,Mewtwo,3,70
151,Mew,45,55
